month,latitude,longitude,depth,mag,id,place
10,50,110,15,5.7,iscgem880479,"Lake Baykal region, Russia"
10,60,-30,15,5.7,iscgem880482,Reykjanes Ridge
10,-10,130,35,6.7,iscgem880488,"Kepulauan Tanimbar, Indonesia"
10,60,-30,15,5.6,iscgem880485,Reykjanes Ridge
10,40,130,608,6.8,iscgem880492,North Korea
10,10,90,61,5.9,iscgem880495,"Nicobar Islands, India region"
10,60,160,36,6.4,iscgem880524,"near the east coast of the Kamchatka Peninsula, Russia"
10,60,-40,20,5.7,iscgem880536,Reykjanes Ridge
10,50,-170,36,6.5,iscgem880535,"Andreanof Islands, Aleutian Islands, Alaska"
10,-40,-70,25,5.8,iscgem880534,"Araucania, Chile"
10,20,-90,35,5.7,iscgem880565,"offshore Chiapas, Mexico"
10,-10,170,15,6,iscgem880585,Santa Cruz Islands region
10,-10,160,65,6.3,iscgem880595,Solomon Islands
10,40,140,25,6.1,iscgem880645,"off the east coast of Honshu, Japan"
10,70,-10,15,5.9,iscgem880638,Jan Mayen Island region
10,-20,-170,35,5.7,iscgem880649,Tonga
10,-20,-70,35,6.2,iscgem880659,"Antofagasta, Chile"
11,-10,-10,15,5.7,iscgem880669,Ascension Island region
11,-40,-80,20,7.4,iscgem880670,"off the coast of Araucania, Chile"
11,-10,170,15,6.3,iscgem880682,Santa Cruz Islands region
11,40,20,20,6,iscgem880700,Greece-Albania border region
11,-30,-180,25,6.3,iscgem880703,Kermadec Islands region
11,50,-170,41,5.9,iscgem880707,"Fox Islands, Aleutian Islands, Alaska"
11,50,160,34,6.2,iscgem880702,"near the east coast of the Kamchatka Peninsula, Russia"
11,-20,-70,35,6.2,iscgem880731,"Antofagasta, Chile"
11,30,100,25,6.3,iscgem880729,"western Sichuan, China"
11,-60,-30,15,6.4,iscgem880728,South Sandwich Islands region
11,40,20,25,5.6,iscgem880743,Greece
11,50,-170,22,6.8,iscgem880759,"Fox Islands, Aleutian Islands, Alaska"
11,-10,-80,15,7.6,iscgem880820,near the coast of northern Peru
11,-40,-80,20,6.2,iscgem880832,"offshore Los Lagos, Chile"
11,-20,-170,15,6,iscgem880828,Tonga region
11,-40,50,15,6.1,iscgem880830,Southwest Indian Ridge
11,-30,-180,25,6.6,iscgem880837,south of the Fiji Islands
11,-20,-180,45,5.9,iscgem880840,south of the Fiji Islands
11,-30,-180,30,7.2,iscgem880846,south of the Fiji Islands
11,-10,150,65,6.1,iscgem880845,"New Ireland region, Papua New Guinea"
11,-40,-80,20,6,iscgem880884,"off the coast of Aisen, Chile"
12,50,-130,20,6.2,iscgem880899,"Vancouver Island, Canada region"
12,-30,-70,35,7.3,iscgem880905,"Antofagasta, Chile"
12,40,110,20,6.8,iscgem880912,central Mongolia
12,40,100,20,5.7,iscgem880930,central Mongolia
12,-20,-70,50,6.1,iscgem880939,"Tarapaca, Chile"
12,10,-80,35,6.2,iscgem880940,Panama-Costa Rica border region
12,-20,170,65,6.1,iscgem880976,Vanuatu
12,40,80,15,5.7,iscgem880974,"southern Xinjiang, China"
12,30,140,15,6.1,iscgem880986,"Bonin Islands, Japan region"
12,-50,160,15,6.8,iscgem880984,north of Macquarie Island
12,-10,170,25,6,iscgem880988,Santa Cruz Islands
12,0,130,65,6.3,iscgem880993,Molucca Sea
12,10,130,35,5.8,iscgem881019,"Mindanao, Philippines"
12,10,90,15,5.7,iscgem881043,"Nicobar Islands, India region"
12,-30,-180,15,5.7,iscgem881045,Kermadec Islands region
12,40,-130,20,5.9,iscgem881080,offshore Northern California
12,-50,-80,25,6.3,iscgem881092,"off the coast of Aisen, Chile"
12,-40,-80,20,6,iscgem881106,"off the coast of Aisen, Chile"
1,50,-180,32,6.5,iscgem875902,"Andreanof Islands, Aleutian Islands, Alaska"
1,-20,170,35,6.6,iscgem875906,southeast of the Loyalty Islands
1,-20,170,35,6.6,iscgem875905,southeast of the Loyalty Islands
1,50,160,59,6.6,iscgem875939,Kuril Islands
1,50,-170,20,6.1,iscgem875942,"Fox Islands, Aleutian Islands, Alaska"
1,50,-160,22,6,iscgem875956,"Unimak Island region, Alaska"
1,40,140,30,6.2,iscgem875972,"off the east coast of Honshu, Japan"
1,40,140,30,7.2,iscgem875966,"near the east coast of Honshu, Japan"
1,40,140,30,6.7,iscgem875974,"near the east coast of Honshu, Japan"
1,40,140,30,6.3,iscgem875968,"near the east coast of Honshu, Japan"
1,40,140,30,7,iscgem875970,"near the east coast of Honshu, Japan"
1,-20,170,20,5.8,iscgem875985,southeast of the Loyalty Islands
1,50,160,55,5.9,iscgem875988,Kuril Islands
1,60,-150,20,6,iscgem875994,"Kodiak Island region, Alaska"
1,-10,170,15,6.8,iscgem876003,Santa Cruz Islands
1,-20,170,35,5.6,iscgem876018,Vanuatu
1,-20,170,35,6.4,iscgem876017,southeast of the Loyalty Islands
1,-20,170,15,6.1,iscgem876036,southeast of the Loyalty Islands
1,40,-120,6,5.05,ci3347759,"23km SSW of Little Lake, CA"
1,60,-150,29,6.1,iscgem876047,south of Alaska
2,40,-120,6,5.1,ci10086626,"13km NNW of Dixon Lane-Meadow Creek, CA"
2,40,-120,6,5.3,ci10086622,"47km NNE of Dixon Lane-Meadow Creek, CA"
2,20,120,35,6.1,iscgem876061,Taiwan region
2,10,-80,35,5.8,iscgem876065,Panama-Costa Rica border region
2,-40,80,15,5.9,iscgem876066,Mid-Indian Ridge
2,-10,160,45,6.5,iscgem17289975,"Bougainville region, Papua New Guinea"
2,-30,-180,55,6.1,iscgem876086,Kermadec Islands region
2,-30,-180,59,6.1,iscgem17289997,Kermadec Islands region
2,40,150,34,6.3,iscgem876104,Kuril Islands
2,40,150,38,6.9,iscgem876101,Kuril Islands
2,40,150,32,5.9,iscgem876113,Kuril Islands
2,-20,-180,25,6.1,iscgem876109,Tonga
2,40,150,35,5.6,iscgem876116,east of the Kuril Islands
2,40,150,46,6,iscgem876120,east of the Kuril Islands
2,40,150,34,6.1,iscgem876125,Kuril Islands
2,40,150,32,5.8,iscgem876130,Kuril Islands
2,0,-20,10,5.6,iscgem876144,north of Ascension Island
2,-30,-180,60,5.8,iscgem876159,Kermadec Islands region
2,40,140,15,6.2,iscgem876162,"off the east coast of Honshu, Japan"
2,40,30,35,5.4,iscgemsup876166,"Dodecanese Islands, Greece"
2,-20,-180,35,5.6,iscgem876173,Tonga
2,30,130,35,7.5,iscgem876175,"Kyushu, Japan"
2,-30,-110,15,6,iscgem876174,southern East Pacific Rise
3,-20,170,35,5.8,iscgem876195,southeast of the Loyalty Islands
3,-10,160,46,5.7,iscgem876205,Solomon Islands
3,-30,-180,30,7,iscgem876217,Kermadec Islands region
3,-40,80,15,6.1,iscgem876218,Mid-Indian Ridge
3,10,-40,15,5.8,iscgem876228,northern Mid-Atlantic Ridge
3,50,160,55,6.1,iscgem876232,Kuril Islands
3,10,40,15,6.2,iscgem876234,"Golfe de Tadjoura, Djibouti"
3,-30,-180,30,5.8,iscgem876235,Kermadec Islands region
3,20,-110,25,5.9,iscgem876237,"off the coast of Jalisco, Mexico"
3,0,150,30,6.1,iscgem876247,"New Ireland region, Papua New Guinea"
3,-10,120,45,6.5,iscgem17290149,"Flores region, Indonesia"
3,-10,120,35,6,iscgem876257,"Flores region, Indonesia"
3,-20,-180,35,5.9,iscgem876265,Tonga region
3,-20,-180,20,5.7,iscgem876263,Tonga region
3,-50,160,15,6.7,iscgem17290159,"Auckland Islands, New Zealand region"
3,-20,170,15,5.9,iscgem876282,Vanuatu
3,-20,-180,25,6.4,iscgem876294,south of Tonga
3,10,-90,55,5.9,iscgem876290,near the coast of Nicaragua
3,-20,170,35,5.6,iscgem876298,southeast of the Loyalty Islands
3,40,140,35,5.9,iscgem876306,"near the east coast of Honshu, Japan"
3,50,-180,45,6.1,iscgem17290186,"Andreanof Islands, Aleutian Islands, Alaska"
3,-20,-170,20,5.9,iscgem876327,Tonga
4,40,80,20,6.8,iscgem876332,"southern Xinjiang, China"
4,40,80,20,6.3,iscgem17290212,"southern Xinjiang, China"
4,30,60,20,5.6,iscgem876358,southern Iran
4,40,80,25,5.8,iscgem876351,"southern Xinjiang, China"
4,40,70,30,5.7,iscgem876367,Kyrgyzstan
4,60,160,20,5.7,iscgem876366,"near the east coast of the Kamchatka Peninsula, Russia"
4,-40,-70,25,6.2,iscgem876371,"Araucania, Chile"
4,40,-120,12,5.9,iscgem876374,Central California
4,20,120,35,6.9,iscgem876378,Taiwan region
4,10,-90,65,6,iscgem876400,El Salvador
4,40,80,35,7,iscgem17290245,"southern Xinjiang, China"
4,50,150,39,5.9,iscgem876433,east of the Kuril Islands
4,50,150,36,5.6,iscgemsup876434,east of the Kuril Islands
4,40,150,53,5.8,iscgem876431,Kuril Islands
4,-20,-170,25,5.8,iscgem876439,Tonga
4,50,160,35,6,iscgem876443,Kuril Islands
4,50,150,32,6.7,iscgem876452,east of the Kuril Islands
4,30,130,15,6,iscgem876451,"southeast of the Ryukyu Islands, Japan"
4,50,150,33,6,iscgem876455,east of the Kuril Islands
4,-30,-180,35,5.8,iscgem876462,south of the Kermadec Islands
4,50,150,33,5.9,iscgem876460,east of the Kuril Islands
4,50,150,34,5.6,iscgem876469,east of the Kuril Islands
4,50,150,38,6,iscgem876467,east of the Kuril Islands
4,70,-10,15,5.7,iscgem876479,Jan Mayen Island region
4,40,-130,10,5.9,iscgem876478,off the coast of Northern California
4,50,150,41,5.9,iscgem876486,east of the Kuril Islands
4,50,-30,15,5.7,iscgem876484,northern Mid-Atlantic Ridge
4,-20,-170,15,5.9,iscgem876487,Tonga
5,-30,-180,30,6.3,iscgem17290296,Kermadec Islands region
5,-30,-180,30,5.9,iscgem876522,Kermadec Islands region
5,-20,170,30,5.7,iscgem876530,Vanuatu
5,0,-20,15,5.8,iscgem876528,north of Ascension Island
5,40,130,15,5.6,iscgem876539,"western Honshu, Japan"
5,-10,160,60,6.2,iscgem17290310,"Bougainville region, Papua New Guinea"
5,-30,-70,35,5.8,iscgem876545,"Antofagasta, Chile"
5,-40,-70,25,6.1,iscgem876557,"Bio-Bio, Chile"
5,-30,-180,30,5.7,iscgem876570,Kermadec Islands region
5,30,130,26,6,iscgem876584,"Kyushu, Japan"
5,-30,-180,20,5.7,iscgem876583,Kermadec Islands region
5,50,170,30,6.1,iscgem17290357,"Near Islands, Aleutian Islands, Alaska"
5,20,120,35,5.9,iscgem876599,"southwestern Ryukyu Islands, Japan"
5,-20,-170,27,6,iscgem876614,Tonga
5,-20,-180,70,6.1,iscgem876615,south of the Fiji Islands
5,40,30,35,6.4,iscgem17290377,"Dodecanese Islands, Greece"
5,10,-90,102,6.2,iscgem876622,near the coast of Nicaragua
5,-10,150,50,6,iscgem876669,"New Britain region, Papua New Guinea"
5,30,-110,15,6,iscgem876667,Gulf of California
6,10,40,25,6.2,iscgem876677,Ethiopia
6,10,40,20,6,iscgem876687,Ethiopia
6,10,40,15,5.6,iscgem876691,Ethiopia
6,10,40,20,5.9,iscgem876689,Ethiopia
6,60,170,25,5.9,iscgem876698,"Komandorskiye Ostrova, Russia region"
6,10,40,20,5.4,iscgem876704,Ethiopia
6,30,80,15,6.2,iscgem876710,western Xizang
6,-10,-10,15,5.8,iscgem876722,Ascension Island region
6,10,-100,15,5.8,iscgem876734,northern East Pacific Rise
6,-20,-110,15,5.9,iscgem876736,Easter Island region
6,30,60,15,5.7,iscgem876749,southern Iran
6,30,100,15,5.6,iscgem876754,Myanmar-China border region
6,30,60,15,6.4,iscgem876738,southern Iran
6,30,60,15,5.6,iscgem876751,southern Iran
6,20,110,35,5.7,iscgem17290444,Vietnam
6,10,40,20,5.7,iscgem876777,Ethiopia
6,50,150,31,5.7,iscgem876783,Kuril Islands
6,-40,-80,15,5.8,iscgem876786,"off the coast of Los Lagos, Chile"
6,40,140,35,6,iscgem876816,"off the east coast of Honshu, Japan"
6,10,120,25,6,iscgem17290472,"Mindoro, Philippines"
