month,latitude,longitude,depth,mag,mag_avg
12,0,140,20,6,1
12,-60,140,20,5.9,1
12,-40,-70,30,6.1,1
12,-40,40,20,5.9,1
12,-40,180,20,6.4,1
12,40,80,40,5.8,1
12,50,180,20,6.5,1
1,50,180,30,5.9,1
1,30,140,50,6.2,1
1,-20,-170,30,5.9,1
1,-20,-180,60,6.2,1
1,40,20,20,6.2,1
1,20,-70,40,6.5,1
1,40,150,50,6,1
1,40,20,20,6.2,1
1,40,20,30,5.6,1
1,40,20,30,6,1
1,-20,-170,20,6.1,1
2,-30,-180,20,5.6,1
2,0,140,20,6.3,1
2,0,-20,20,6,1
2,-40,-70,30,7.1,1
2,10,-80,50,5.8,1
2,40,150,50,6.1,1
2,30,100,40,6.3,1
2,10,90,30,5.7,1
2,0,150,20,5.8,1
2,-40,-70,30,6.2,1
3,-10,170,20,6.3,1
3,10,130,30,5.9,1
3,10,90,40,5.8,1
3,20,150,640,6.9,1
3,0,30,10,5.8,1
3,10,130,40,6.3,1
3,10,-80,30,5.9,1
3,10,-80,30,6.5,1
3,-10,170,40,5.7,1
3,10,-40,10,7.3,1
3,20,120,20,6,1
3,40,20,30,6.1,1
3,-20,170,20,6,1
3,0,140,40,6.4,1
3,0,-20,20,5.8,1
3,-40,-70,30,6.2,1
3,0,100,30,5.6,1
3,0,130,30,5.8,1
4,30,60,20,5.8,1
4,-10,170,30,5.9,1
4,10,-80,30,5.9,1
4,-30,-110,20,6,1
4,10,150,20,5.9,1
4,40,20,20,6.2,1
4,40,20,20,5.5,1
4,40,140,30,7.3,1
4,40,140,30,5.8,1
4,0,-10,20,5.6,1
4,0,-10,20,5.8,1
4,0,-20,20,5.8,1
4,40,140,30,5.6,1
4,-10,-80,50,6.4,1
4,70,140,20,6,1
4,20,-70,30,6.6,1
4,20,-90,70,5.9,1
4,40,140,60,7.1,1
4,40,140,40,6.3,1
4,40,30,70,5.8,1
4,40,30,70,5.6,1
4,40,140,20,6.1,1
4,-20,-180,20,5.8,1
4,-20,-180,20,6.1,1
5,-60,-30,20,5.9,1
5,30,140,20,5.6,1
5,-60,-30,20,6.5,1
5,50,150,30,6.5,1
5,50,-170,40,6,1
5,-40,170,30,6,1
5,20,-100,30,7,1
5,-10,130,30,7.1,1
5,20,-100,30,6.8,1
5,-20,-180,390,7.5,1
5,40,100,20,6.6,1
5,-10,170,110,6.6,1
5,-10,150,20,6.1,1
5,-20,-170,30,5.8,1
5,30,-120,10,5.1,0
5,30,-40,20,5.6,1
5,20,140,270,6.6,1
6,30,130,40,6,1
6,50,-130,20,5.8,1
6,20,-50,20,5.8,1
6,40,20,20,5.9,1
6,30,130,30,6,1
6,60,170,20,5.5,1
6,50,170,20,6,1
6,-20,-70,40,5.9,1
6,-40,50,20,5.6,1
6,10,-80,20,5.9,1
6,30,130,20,6.5,1
6,30,100,20,6,1
6,20,120,40,6.4,1
6,20,-160,20,5.7,1
6,30,50,20,5.4,1
6,20,120,20,5.9,1
7,40,80,20,5.6,1
7,-60,-140,20,6,1
7,30,140,20,5.8,1
7,40,20,40,5.9,1
7,10,60,20,5.7,1
7,40,70,220,6.7,1
7,50,180,30,5.9,1
7,10,120,30,5.9,1
7,10,120,30,5.9,1
7,-50,140,20,5.7,1
7,40,150,50,6,1
7,-40,-80,20,5.8,1
7,20,-80,20,6.1,1
7,10,-80,30,7.2,1
7,40,140,30,5.6,1
7,-20,-170,30,5.8,1
7,0,140,30,6.6,1
7,10,-80,60,6.5,1
7,20,120,40,5.9,1
8,0,140,30,6.3,1
8,40,70,30,5.8,1
8,-20,-70,120,6.8,1
8,30,-40,20,6,1
8,-30,-180,80,6,1
8,50,-30,20,5.6,1
8,30,120,130,6.5,1
8,50,110,20,5.6,1
8,0,-80,10,6,1
8,-50,160,20,5.9,1
8,10,120,20,6,1
